# BJD-2450000   mag       e_mag      Flag   Phase    
  7074.754190   +0.0006   0.00048    0      0.81006  
  7074.774622   +0.0012   0.00048    0      0.81836  
  7074.795054   +0.0013   0.00048    1      0.82666  
  7074.815486   +0.0018   0.00048    0      0.83497  
  7074.835918   +0.0018   0.00048    0      0.84327  
  7074.856350   +0.0026   0.00048    0      0.85157  
  7074.876782   +0.0028   0.00048    0      0.85987  
  7074.897214   +0.0032   0.00048    1      0.86817  
  7074.917646   +0.0035   0.00048    0      0.87648  
  7074.938078   +0.0040   0.00048    0      0.88478  
  7074.958510   +0.0044   0.00048    0      0.89308  
  7074.978942   +0.0047   0.00048    0      0.90138  
  7074.999374   +0.0051   0.00048    1      0.90968  
  7075.019806   +0.0052   0.00048    0      0.91798  
  7075.040238   +0.0057   0.00048    0      0.92629  
  7075.060670   +0.0058   0.00048    0      0.93459  
  7075.081102   +0.0062   0.00048    0      0.94289  
  7075.101534   +0.0062   0.00048    1      0.95119  
  7075.121966   +0.0063   0.00048    0      0.95949  
  7075.142398   +0.0067   0.00048    1      0.96780  
  7075.183262   +0.0583   0.00048    5      0.98440  
  7075.203694   +0.0906   0.00048    5      0.99270  
  7075.224126   +0.1024   0.00048    5      0.00100  
  7075.244558   +0.0843   0.00048    5      0.00931  
  7075.264990   +0.0492   0.00048    5      0.01761  
  7075.285422   +0.0147   0.00048    5      0.02591  
  7075.305853   +0.0068   0.00048    1      0.03421  
  7075.326285   +0.0064   0.00048    1      0.04251  
  7075.346717   +0.0063   0.00048    0      0.05081  
  7075.367149   +0.0061   0.00048    0      0.05912  
  7075.387581   +0.0056   0.00048    0      0.06742  
  7075.408013   +0.0056   0.00048    0      0.07572  
  7075.428445   +0.0051   0.00048    1      0.08402  
  7075.448877   +0.0050   0.00048    0      0.09232  
  7075.489741   +0.0040   0.00048    0      0.10893  
  7075.510173   +0.0037   0.00048    0      0.11723  
  7075.530605   +0.0034   0.00048    0      0.12553  
  7075.551037   +0.0029   0.00048    1      0.13383  
  7075.571469   +0.0024   0.00048    0      0.14213  
  7075.591901   +0.0023   0.00048    0      0.15044  
  7075.612333   +0.0017   0.00048    0      0.15874  
  7075.632765   +0.0013   0.00048    0      0.16704  
  7075.653197   +0.0008   0.00048    1      0.17534  
  7075.673629   +0.0008   0.00048    0      0.18364  
  7075.694061   +0.0001   0.00048    0      0.19195  
  7075.714493   -0.0002   0.00048    0      0.20025  
  7075.734925   -0.0003   0.00048    0      0.20855  
  7075.755357   -0.0008   0.00048    1      0.21685  
  7075.775789   -0.0010   0.00048    0      0.22515  
  7075.796221   -0.0015   0.00048    0      0.23346  
  7075.816653   -0.0016   0.00048    0      0.24176  
  7075.857517   -0.0021   0.00048    0      0.25836  
  7075.877949   -0.0021   0.00048    1      0.26666  
  7075.898381   -0.0025   0.00048    0      0.27496  
  7075.918812   -0.0025   0.00048    0      0.28327  
  7075.939244   -0.0026   0.00048    0      0.29157  
  7075.959676   -0.0028   0.00048    0      0.29987  
  7075.980108   -0.0027   0.00048    1      0.30817  
  7076.000540   -0.0030   0.00048    0      0.31647  
  7076.020972   -0.0029   0.00048    0      0.32478  
  7076.041404   -0.0029   0.00048    0      0.33308  
  7076.061836   -0.0030   0.00048    0      0.34138  
  7076.082268   -0.0028   0.00048    1      0.34968  
  7076.102700   -0.0029   0.00048    0      0.35798  
  7076.123132   -0.0027   0.00048    0      0.36628  
